作業檔案名稱,分數
0319.py,79.0
C109156119_code109156119.py,87.0
C109156144_20240319.py,89.0
C109156212_1.py,88.0
C109156218_2024 03 19.py,95.0
C109179183_1.py,91.0
C110156201_1.py,85.0
C110156207_HW1.py,78.0
C110156210_C110156210.py,86.0
C110156211_bank.py,79.0
C110156212_C110156212_1.py,91.0
C110156213_C110156213.py,84.0
C110156215_standby.py,87.0
C110156216_C110156216.py,89.0
C110156221_機器學習.py,73.0
C110156222_1.py,78.0
C110156223_hw01.py,85.0
C110156225_hw01.py,92.0
"C110156229_1, 2, 3, 4, 5.py",91.0
C110156230_機器學習HW.py,79.0
C110156231_hw2.py,91.0
C110156232_預處理.py,90.0
C110156234_0325hw.py,79.0
C110156235_機器學習.py,92.0
C110156236_預處理.py,90.0
C110156237_hw1111.py,85.0
C110156238_pd0325.py,91.0
C110156239_機器學習應用0319.py,91.0
C110156240_HW318.py,86.0
C110156241_0319.py,84.0
C110156242_資料預處理.py,81.0
C110156243_0325.py,84.0
C110156245_C110156245.py,87.0
C110156246_Hw01_資料預處理.py,88.0
C110156247__預處理.py,90.0
C110156249_1.py,72.0
C110156252_1.py,88.0
C110156253_C110156253-HW1.py,85.0
C110156254_hw.py,77.0
C110156280_C110156280_李偉宏.py,92.0
C110156281_0319.py,86.0
C110156282.py,90.0
C110156283_C110156283.py,86.0
C110181131_work1.py,76.0
C110181133_dataFixing.py,88.0
C110181135_bestBuyLaptops.py,87.0
HW.py,73.0
HW01.py,89.0
ML_hw1.py,86.0
hw1.py,86.0
hw1_c110156227.py,85.0
main01.py,86.0
機器學習0319.py,86.0
預處理.py,87.0
